campaign_id,fuzzer,subject,defect,time
10,Zest,Bcel,B0,0 days 00:42:48.816000
10,Zest,Bcel,B1,
100,Zeugma-1PT,Rhino,R0,0 days 01:34:51.614000
100,Zeugma-1PT,Rhino,R1,0 days 00:44:59.002000
100,Zeugma-1PT,Rhino,R2,0 days 00:49:16.492000
100,Zeugma-1PT,Rhino,R3,0 days 00:00:13.996000
100,Zeugma-1PT,Rhino,R4,0 days 00:28:54.313000
1000,Zest,Bcel,B0,0 days 00:31:47.790000
1000,Zest,Bcel,B1,
1001,Zeugma-Link,Bcel,B0,0 days 00:11:10.537000
1001,Zeugma-Link,Bcel,B1,
1002,Zeugma-X,Bcel,B0,0 days 00:09:20.603000
1002,Zeugma-X,Bcel,B1,
1003,Zeugma-1PT,Bcel,B0,0 days 00:35:56.862000
1003,Zeugma-1PT,Bcel,B1,0 days 00:45:13.710000
1004,Zeugma-2PT,Bcel,B0,0 days 00:39:35.531000
1004,Zeugma-2PT,Bcel,B1,
1005,BeDiv-Simple,Closure,C0,
1005,BeDiv-Simple,Closure,C1,0 days 00:45:35.150000
1006,BeDiv-Struct,Closure,C0,
1006,BeDiv-Struct,Closure,C1,0 days 00:49:19.634000
1007,RLCheck,Closure,C0,
1007,RLCheck,Closure,C1,0 days 00:10:29.308000
1008,Zest,Closure,C0,
1008,Zest,Closure,C1,0 days 01:00:34.474000
1009,Zeugma-Link,Closure,C0,0 days 01:49:12.848000
1009,Zeugma-Link,Closure,C1,0 days 00:03:38.473000
101,Zeugma-2PT,Rhino,R0,
101,Zeugma-2PT,Rhino,R1,0 days 00:10:43.983000
101,Zeugma-2PT,Rhino,R2,
101,Zeugma-2PT,Rhino,R3,0 days 00:00:03.532000
101,Zeugma-2PT,Rhino,R4,0 days 00:58:58.145000
1010,Zeugma-X,Closure,C0,
1010,Zeugma-X,Closure,C1,0 days 00:06:00.431000
1011,Zeugma-1PT,Closure,C0,0 days 02:25:21.887000
1011,Zeugma-1PT,Closure,C1,0 days 00:00:48.892000
1012,Zeugma-2PT,Closure,C0,
1012,Zeugma-2PT,Closure,C1,0 days 00:03:37.222000
1021,BeDiv-Simple,Nashorn,N0,
1021,BeDiv-Simple,Nashorn,N1,
1021,BeDiv-Simple,Nashorn,N2,
1022,BeDiv-Struct,Nashorn,N0,
1022,BeDiv-Struct,Nashorn,N1,
1022,BeDiv-Struct,Nashorn,N2,
1023,RLCheck,Nashorn,N0,
1023,RLCheck,Nashorn,N1,
1023,RLCheck,Nashorn,N2,
1024,Zest,Nashorn,N0,
1024,Zest,Nashorn,N1,
1024,Zest,Nashorn,N2,
1025,Zeugma-Link,Nashorn,N0,0 days 00:25:04.998000
1025,Zeugma-Link,Nashorn,N1,
1025,Zeugma-Link,Nashorn,N2,0 days 00:09:31.040000
1026,Zeugma-X,Nashorn,N0,0 days 01:09:45.515000
1026,Zeugma-X,Nashorn,N1,
1026,Zeugma-X,Nashorn,N2,
1027,Zeugma-1PT,Nashorn,N0,0 days 00:52:37.481000
1027,Zeugma-1PT,Nashorn,N1,
1027,Zeugma-1PT,Nashorn,N2,
1028,Zeugma-2PT,Nashorn,N0,
1028,Zeugma-2PT,Nashorn,N1,
1028,Zeugma-2PT,Nashorn,N2,
1029,BeDiv-Simple,Rhino,R0,
1029,BeDiv-Simple,Rhino,R1,0 days 02:19:41.190000
1029,BeDiv-Simple,Rhino,R2,
1029,BeDiv-Simple,Rhino,R3,0 days 00:00:01.456000
1029,BeDiv-Simple,Rhino,R4,
1030,BeDiv-Struct,Rhino,R0,
1030,BeDiv-Struct,Rhino,R1,0 days 00:10:10.836000
1030,BeDiv-Struct,Rhino,R2,
1030,BeDiv-Struct,Rhino,R3,0 days 00:00:00.572000
1030,BeDiv-Struct,Rhino,R4,
1031,RLCheck,Rhino,R0,
1031,RLCheck,Rhino,R1,
1031,RLCheck,Rhino,R2,
1031,RLCheck,Rhino,R3,0 days 00:00:08.396000
1031,RLCheck,Rhino,R4,
1032,Zest,Rhino,R0,
1032,Zest,Rhino,R1,0 days 00:24:24.388000
1032,Zest,Rhino,R2,
1032,Zest,Rhino,R3,0 days 00:00:15.368000
1032,Zest,Rhino,R4,
1033,Zeugma-Link,Rhino,R0,
